time_start_time-trial,time_end_time-trial,rotation,chart-type,workerID,log-error,totalSequence,judged-true,ans-percentage-diff,opposite-ans,ans-trial,correct-ans,time_diff_time-trial
1452625608138,1452625622289,23.500688932836056,square,DA71AE14,1.6438561897747246,40,3,0.05263157894736842,43,60,57,14.151
1452625622291,1452625628503,349.6625928673893,exploded,DA71AE14,1.6438561897747246,41,-3,-0.038461538461538464,22,75,78,6.212
1452625295052,1452625299792,3.6673371959477663,ellipse,DA71AE14,4.592457037268081,1,24,0.34782608695652173,31,93,69,4.74
1452625287011,1452625295050,55.10806736536324,exploded,DA71AE14,1.6438561897747246,0,3,0.75,96,7,4,8.039
1452625310871,1452625320656,248.66388835944235,outerRadius,DA71AE14,2.0443941193584534,3,4,0.05263157894736842,24,80,76,9.785
1452625299794,1452625310870,196.00876559503376,square,DA71AE14,1.6438561897747246,2,3,0.05263157894736842,43,60,57,11.076
1452625325689,1452625331782,145.55635049007833,outerRadius,DA71AE14,2.357552004618084,5,5,0.22727272727272727,78,27,22,6.093
1452625320657,1452625325687,296.730140671134,outerRadius,DA71AE14,2.0443941193584534,4,4,0.0784313725490196,49,55,51,5.03
1452625336372,1452625341840,339.3670911435038,exploded,DA71AE14,1.0874628412503393,7,2,0.6666666666666666,97,5,3,5.468
1452625331784,1452625336370,350.83245769143105,square,DA71AE14,2.0443941193584534,6,-4,-0.10810810810810811,63,33,37,4.586
1452625346602,1452625363263,128.03652925416827,exploded,DA71AE14,3.189824558880017,9,-9,-0.23684210526315788,62,29,38,16.661
1452625523455,1452625533818,238.90146519988775,outerRadius,DA71AE14,2.0443941193584534,31,4,0.0975609756097561,59,45,41,10.363
1452625678817,1452625684759,357.9034549277276,pie,DA71AE14,1.6438561897747246,49,3,0.2,85,18,15,5.942
1452625602639,1452625608136,32.947832169011235,pie,DA71AE14,2.6147098441152083,39,6,0.11538461538461539,48,58,52,5.497
1452625546400,1452625550950,26.861430946737528,pie,DA71AE14,-3,34,0,0,51,49,49,4.55
